CustomerID,InvoiceDate,InvoiceNo,Amount
C135,2025-01-27 20:13:39.361657,0,20.47
C163,2023-10-28 20:13:39.361687,1,78.07
C183,2024-08-27 20:13:39.361693,2,206.31
C014,2024-11-08 20:13:39.361697,3,131.76
C120,2025-03-22 20:13:39.361701,4,164.28
C138,2025-03-22 20:13:39.361704,5,107.52
C080,2025-04-11 20:13:39.361708,6,117.86
C144,2024-04-24 20:13:39.361711,7,189.18
C182,2024-11-07 20:13:39.361714,8,28.72
C106,2024-09-12 20:13:39.361718,9,67.22
C070,2025-04-18 20:13:39.361721,10,25.0
C044,2023-07-31 20:13:39.361724,11,439.56
C073,2024-06-04 20:13:39.361728,12,288.35
C045,2025-03-10 20:13:39.361731,13,4.02
C184,2025-03-16 20:13:39.361734,14,122.27
C107,2025-03-16 20:13:39.361737,15,259.36
C084,2025-02-15 20:13:39.361741,16,19.92
C082,2024-12-09 20:13:39.361744,17,83.92
C107,2025-01-10 20:13:39.361748,18,247.09
C185,2025-02-19 20:13:39.361751,19,3.45
C021,2024-11-02 20:13:39.361754,20,119.54
C196,2025-03-25 20:13:39.361757,21,35.29
C178,2025-02-18 20:13:39.361759,22,258.22
C161,2025-01-29 20:13:39.361762,23,354.25
C007,2025-01-02 20:13:39.361766,24,288.72
C070,2024-07-19 20:13:39.361769,25,64.29
C127,2025-03-12 20:13:39.361773,26,198.08
C143,2024-12-13 20:13:39.361776,27,186.14
C160,2024-11-11 20:13:39.361799,28,38.43
C148,2025-04-13 20:13:39.361804,29,176.56
C143,2024-11-04 20:13:39.361807,30,3.77
C176,2025-03-19 20:13:39.361811,31,90.7
C199,2025-04-09 20:13:39.361814,32,26.14
C149,2023-11-03 20:13:39.361818,33,12.85
C170,2023-08-24 20:13:39.361822,34,8.01
C154,2024-06-28 20:13:39.361825,35,119.17
C120,2025-02-15 20:13:39.361829,36,41.53
C128,2025-04-03 20:13:39.361833,37,129.01
C142,2024-09-26 20:13:39.361836,38,6.76
C057,2025-01-07 20:13:39.361840,39,37.88
C165,2025-03-29 20:13:39.361843,40,77.54
C058,2024-12-19 20:13:39.361848,41,156.41
C021,2025-04-15 20:13:39.361851,42,38.38
C082,2024-02-14 20:13:39.361855,43,98.32
C069,2025-02-27 20:13:39.361859,44,217.14
C131,2024-10-08 20:13:39.361863,45,95.68
C087,2025-02-13 20:13:39.361868,46,26.52
C165,2024-12-10 20:13:39.361873,47,2.47
C049,2024-11-30 20:13:39.361877,48,204.1
C147,2025-03-16 20:13:39.361881,49,2.15
C115,2023-08-02 20:13:39.361884,50,207.71
C089,2024-07-27 20:13:39.361888,51,75.28
C085,2023-12-04 20:13:39.361893,52,279.8
C128,2024-03-12 20:13:39.361897,53,160.34
C140,2024-11-09 20:13:39.361901,54,618.22
C189,2024-01-19 20:13:39.361905,55,43.19
C169,2025-04-05 20:13:39.361908,56,145.75
C161,2025-03-13 20:13:39.361912,57,51.4
C178,2025-04-13 20:13:39.361916,58,65.37
C117,2025-02-10 20:13:39.361919,59,98.75
C196,2025-01-23 20:13:39.361924,60,206.89
C127,2025-02-24 20:13:39.361927,61,414.04
C071,2024-06-08 20:13:39.361930,62,146.22
C086,2025-02-01 20:13:39.361933,63,54.09
C033,2025-02-21 20:13:39.361938,64,54.71
C081,2024-12-02 20:13:39.361943,65,133.78
C152,2025-03-25 20:13:39.361947,66,27.28
C061,2024-07-04 20:13:39.361950,67,11.71
C061,2025-04-08 20:13:39.361954,68,43.79
C098,2023-03-03 20:13:39.361957,69,33.86
C028,2024-07-29 20:13:39.361961,70,35.14
C186,2025-03-13 20:13:39.361965,71,26.61
C043,2025-04-21 20:13:39.361968,72,4.3
C169,2024-06-21 20:13:39.361974,73,1.8
C167,2024-09-13 20:13:39.361978,74,440.0
C086,2024-08-29 20:13:39.361981,75,55.82
C177,2024-07-30 20:13:39.361985,76,48.5
C017,2025-04-08 20:13:39.361995,77,113.83
C098,2025-02-01 20:13:39.362001,78,24.62
C198,2025-03-30 20:13:39.362005,79,299.5
C198,2024-04-29 20:13:39.362010,80,154.34
C098,2024-10-28 20:13:39.362016,81,9.37
C065,2025-02-08 20:13:39.362020,82,54.06
C074,2025-04-10 20:13:39.362025,83,211.29
C085,2025-02-13 20:13:39.362029,84,289.56
C005,2025-02-10 20:13:39.362033,85,63.0
C002,2024-08-29 20:13:39.362037,86,95.04
C022,2024-10-21 20:13:39.362041,87,18.28
C112,2024-03-25 20:13:39.362044,88,472.94
C057,2024-12-27 20:13:39.362048,89,26.35
C066,2025-03-30 20:13:39.362052,90,286.0
C074,2024-09-09 20:13:39.362056,91,104.88
C098,2024-08-07 20:13:39.362060,92,93.58
C144,2024-11-24 20:13:39.362066,93,71.89
C112,2024-07-30 20:13:39.362070,94,26.22
C179,2024-12-20 20:13:39.362073,95,19.42
C125,2024-12-09 20:13:39.362077,96,24.91
C167,2025-01-11 20:13:39.362080,97,20.63
C086,2025-04-17 20:13:39.362084,98,151.22
C076,2025-04-01 20:13:39.362087,99,43.1
C088,2025-04-16 20:13:39.362092,100,5.96
C168,2024-10-21 20:13:39.362096,101,347.71
C038,2025-02-13 20:13:39.362101,102,215.23
C188,2024-12-15 20:13:39.362106,103,262.77
C059,2024-02-18 20:13:39.362110,104,528.0
C138,2025-03-01 20:13:39.362115,105,19.1
C099,2025-01-16 20:13:39.362118,106,50.46
C192,2024-08-11 20:13:39.362122,107,141.98
C063,2025-03-06 20:13:39.362126,108,119.08
C049,2025-04-07 20:13:39.362133,109,16.71
C192,2025-02-19 20:13:39.362138,110,169.19
C032,2025-03-21 20:13:39.362141,111,25.42
C135,2023-12-31 20:13:39.362144,112,25.34
C021,2024-06-28 20:13:39.362149,113,77.0
C020,2024-10-23 20:13:39.362154,114,89.88
C154,2024-04-17 20:13:39.362158,115,86.77
C127,2024-07-02 20:13:39.362182,116,9.59
C068,2025-03-15 20:13:39.362190,117,209.93
C110,2024-03-16 20:13:39.362194,118,30.87
C116,2024-12-03 20:13:39.362198,119,13.87
C143,2024-06-29 20:13:39.362202,120,219.6
C120,2024-03-10 20:13:39.362207,121,311.57
C079,2025-02-12 20:13:39.362210,122,198.14
C116,2025-04-01 20:13:39.362213,123,165.82
C092,2025-03-06 20:13:39.362217,124,106.49
C014,2025-01-11 20:13:39.362221,125,80.04
C155,2024-06-19 20:13:39.362225,126,9.1
C125,2024-05-02 20:13:39.362228,127,52.5
C168,2025-04-20 20:13:39.362231,128,46.63
C058,2024-12-14 20:13:39.362237,129,30.08
C028,2025-01-14 20:13:39.362241,130,128.53
C026,2025-03-07 20:13:39.362245,131,68.49
C113,2025-03-30 20:13:39.362248,132,8.45
C191,2025-02-06 20:13:39.362252,133,24.87
C066,2023-11-23 20:13:39.362256,134,114.97
C153,2025-02-10 20:13:39.362259,135,7.92
C131,2024-12-11 20:13:39.362262,136,190.52
C200,2024-09-15 20:13:39.362266,137,68.35
C044,2025-01-30 20:13:39.362269,138,65.51
C097,2023-07-19 20:13:39.362274,139,89.75
C042,2023-09-09 20:13:39.362277,140,174.11
C006,2025-02-28 20:13:39.362282,141,42.74
C167,2024-12-19 20:13:39.362301,142,113.33
C180,2025-02-16 20:13:39.362306,143,83.41
C023,2025-02-20 20:13:39.362309,144,31.06
C089,2025-04-15 20:13:39.362312,145,210.89
C123,2024-11-03 20:13:39.362315,146,159.67
C178,2024-12-17 20:13:39.362319,147,107.43
C171,2025-04-12 20:13:39.362322,148,190.1
C147,2025-02-22 20:13:39.362327,149,201.96
C197,2024-02-17 20:13:39.362331,150,123.22
C051,2025-03-03 20:13:39.362335,151,181.41
C011,2025-03-24 20:13:39.362339,152,119.56
C012,2024-12-21 20:13:39.362342,153,113.99
C074,2023-03-20 20:13:39.362345,154,96.39
C008,2025-03-03 20:13:39.362349,155,139.72
C152,2024-10-03 20:13:39.362351,156,17.27
C041,2024-08-06 20:13:39.362355,157,212.75
C164,2025-03-04 20:13:39.362359,158,205.45
C085,2024-08-30 20:13:39.362362,159,2.97
C072,2025-01-29 20:13:39.362366,160,174.76
C055,2024-10-23 20:13:39.362370,161,13.8
C137,2024-10-23 20:13:39.362375,162,40.81
C047,2024-12-04 20:13:39.362378,163,136.07
C143,2025-04-04 20:13:39.362381,164,17.53
C176,2024-06-01 20:13:39.362385,165,170.36
C104,2025-02-11 20:13:39.362403,166,178.46
C042,2025-03-15 20:13:39.362409,167,70.82
C060,2025-04-14 20:13:39.362413,168,0.64
C198,2024-11-12 20:13:39.362416,169,33.83
C012,2024-09-30 20:13:39.362419,170,95.95
C130,2025-04-18 20:13:39.362422,171,397.32
C007,2024-12-13 20:13:39.362426,172,99.92
C080,2025-03-06 20:13:39.362431,173,30.08
C131,2024-10-17 20:13:39.362434,174,100.51
C109,2025-03-18 20:13:39.362437,175,77.65
C003,2024-09-22 20:13:39.362441,176,151.34
C027,2025-01-23 20:13:39.362445,177,11.31
C114,2023-12-12 20:13:39.362449,178,143.14
C107,2025-03-26 20:13:39.362453,179,77.93
C040,2025-02-05 20:13:39.362457,180,329.66
C161,2025-03-31 20:13:39.362462,181,41.84
C129,2024-01-12 20:13:39.362467,182,100.14
C008,2024-04-09 20:13:39.362471,183,268.87
C101,2025-02-27 20:13:39.362474,184,10.82
C160,2024-10-09 20:13:39.362477,185,276.83
C124,2024-06-20 20:13:39.362480,186,116.44
C176,2024-11-27 20:13:39.362484,187,7.02
C107,2024-12-07 20:13:39.362487,188,35.81
C101,2025-03-03 20:13:39.362490,189,123.16
C004,2025-04-04 20:13:39.362494,190,6.97
C198,2024-03-08 20:13:39.362497,191,87.27
C110,2024-03-02 20:13:39.362499,192,42.45
C019,2024-10-23 20:13:39.362504,193,97.0
C032,2025-02-06 20:13:39.362508,194,4.68
C137,2025-02-03 20:13:39.362512,195,205.21
C012,2024-08-31 20:13:39.362515,196,363.02
C139,2024-03-08 20:13:39.362519,197,346.98
C046,2024-03-25 20:13:39.362522,198,138.49
C119,2024-07-23 20:13:39.362525,199,13.94
C016,2024-10-19 20:13:39.362528,200,141.99
C129,2025-04-06 20:13:39.362533,201,2.49
C063,2025-03-21 20:13:39.362537,202,2.24
C109,2024-03-06 20:13:39.362540,203,39.1
C119,2024-11-05 20:13:39.362544,204,67.07
C021,2025-04-20 20:13:39.362547,205,147.14
C158,2025-04-02 20:13:39.362550,206,114.98
C013,2024-10-07 20:13:39.362554,207,59.04
C162,2025-04-21 20:13:39.362578,208,31.97
C004,2025-03-21 20:13:39.362601,209,585.15
C156,2024-11-29 20:13:39.362604,210,55.54
C102,2024-09-22 20:13:39.362609,211,60.04
C059,2024-10-14 20:13:39.362614,212,17.87
C128,2025-03-07 20:13:39.362619,213,158.38
C027,2024-09-09 20:13:39.362622,214,118.31
C069,2025-03-04 20:13:39.362626,215,24.94
C025,2025-02-10 20:13:39.362630,216,8.6
C131,2024-08-17 20:13:39.362634,217,114.1
C097,2024-10-15 20:13:39.362638,218,106.28
C196,2024-05-16 20:13:39.362642,219,31.92
C025,2024-10-11 20:13:39.362645,220,301.32
C148,2024-11-21 20:13:39.362649,221,16.38
C162,2025-04-04 20:13:39.362653,222,56.62
C154,2025-01-29 20:13:39.362657,223,287.56
C126,2025-02-25 20:13:39.362660,224,54.43
C133,2025-03-02 20:13:39.362665,225,101.76
C189,2023-07-11 20:13:39.362669,226,50.68
C009,2025-01-22 20:13:39.362672,227,32.05
C116,2024-03-17 20:13:39.362676,228,413.38
C178,2024-10-24 20:13:39.362679,229,52.65
C134,2024-07-10 20:13:39.362683,230,224.53
C060,2024-12-17 20:13:39.362686,231,26.13
C172,2024-11-18 20:13:39.362691,232,23.97
C121,2024-12-20 20:13:39.362699,233,3.16
C139,2025-03-13 20:13:39.362705,234,105.46
C194,2024-09-03 20:13:39.362710,235,45.97
C175,2025-02-21 20:13:39.362714,236,199.77
C108,2025-04-17 20:13:39.362718,237,64.1
C108,2024-10-17 20:13:39.362722,238,344.81
C131,2025-03-17 20:13:39.362725,239,20.52
C076,2023-12-01 20:13:39.362728,240,202.97
C030,2023-10-16 20:13:39.362732,241,149.88
C021,2024-02-03 20:13:39.362735,242,147.37
C156,2025-01-28 20:13:39.362739,243,186.29
C190,2025-04-19 20:13:39.362742,244,143.14
C161,2024-01-03 20:13:39.362746,245,98.41
C163,2025-01-11 20:13:39.362749,246,14.07
C180,2023-08-18 20:13:39.362754,247,3.31
C034,2023-09-03 20:13:39.362759,248,253.64
C041,2024-05-11 20:13:39.362763,249,95.88
C051,2025-02-18 20:13:39.362766,250,159.23
C175,2025-01-24 20:13:39.362769,251,65.69
C082,2024-05-14 20:13:39.362773,252,12.48
C058,2025-02-12 20:13:39.362777,253,13.37
C075,2025-03-19 20:13:39.362782,254,115.7
C185,2024-11-26 20:13:39.362786,255,56.27
C023,2023-12-13 20:13:39.362790,256,22.38
C176,2024-09-19 20:13:39.362793,257,67.65
C128,2024-11-21 20:13:39.362797,258,6.64
C150,2025-04-03 20:13:39.362801,259,87.22
C017,2024-11-01 20:13:39.362803,260,31.33
C069,2023-01-13 20:13:39.362808,261,159.73
C108,2025-03-25 20:13:39.362813,262,37.16
C139,2024-12-11 20:13:39.362817,263,60.74
C094,2024-04-09 20:13:39.362820,264,1.17
C015,2024-08-21 20:13:39.362824,265,7.52
C091,2024-09-19 20:13:39.362827,266,49.84
C163,2024-09-15 20:13:39.362830,267,65.38
C033,2025-01-31 20:13:39.362833,268,91.63
C125,2025-02-18 20:13:39.362840,269,34.48
C016,2024-06-27 20:13:39.362844,270,118.74
C162,2024-06-26 20:13:39.362846,271,196.7
C066,2024-04-23 20:13:39.362849,272,151.35
C168,2024-02-06 20:13:39.362853,273,4.04
C156,2024-12-14 20:13:39.362857,274,65.49
C047,2024-12-17 20:13:39.362861,275,11.09
C167,2024-07-07 20:13:39.362866,276,27.71
C198,2024-10-15 20:13:39.362870,277,431.72
C148,2024-09-16 20:13:39.362873,278,15.37
C124,2024-07-10 20:13:39.362877,279,69.09
C001,2024-03-20 20:13:39.362880,280,96.27
C200,2025-02-06 20:13:39.362884,281,121.22
C087,2025-01-27 20:13:39.362890,282,82.02
C128,2025-04-04 20:13:39.362893,283,0.98
C191,2024-11-17 20:13:39.362896,284,39.52
C067,2025-04-15 20:13:39.362900,285,72.92
C004,2024-12-30 20:13:39.362904,286,9.2
C186,2024-12-02 20:13:39.362906,287,43.17
C153,2025-02-20 20:13:39.362909,288,3.38
C047,2024-11-12 20:13:39.362912,289,8.18
C038,2025-04-16 20:13:39.362915,290,50.57
C143,2025-04-15 20:13:39.362919,291,14.24
